Points,Build Iterations,Query Iterations,Build Time (s),Query Time (s),Space (bytes),Total Time (s),Completion Time
5000,30,300000,1.791033,0.000154,79158988.0,100.009689,17:57:29
10000,30,300000,3.450184,0.00017,158126582.67,154.378374,18:02:10
15000,30,300000,5.289362,0.000178,245379103.47,212.192817,18:08:56
20000,30,300000,8.741082,0.00019,316709836.8,319.126002,18:18:00
25000,30,300000,10.97728,0.000194,410083420.53,387.456817,18:29:19
30000,30,300000,13.363354,0.000201,492028967.47,461.060555,18:42:57
35000,30,300000,16.506168,0.000213,561964909.33,559.100836,18:59:18
40000,30,300000,18.241898,0.000212,631583012.53,610.994153,19:17:29
45000,30,300000,21.324782,0.000217,743444172.0,704.754301,19:38:06
50000,30,300000,23.741392,0.000222,821857867.73,778.932417,20:01:04
55000,30,300000,27.088687,0.000232,891674661.87,882.382855,20:27:00
60000,30,300000,29.185465,0.000235,982209879.2,945.954936,20:55:11
65000,30,300000,32.043304,0.000239,1052088837.33,1033.087147,21:25:54
70000,30,300000,34.089294,0.000239,1121934687.47,1094.287491,21:58:17
75000,30,300000,36.459589,0.000242,1191624791.47,1166.268516,22:32:51
80000,30,300000,39.578141,0.000249,1263774372.27,1262.018828,23:10:11
85000,30,300000,41.802295,0.000251,1333483762.13,1329.403221,23:49:52
90000,30,300000,45.494511,0.000259,1487339008.0,1442.595643,00:32:28
95000,30,300000,47.094509,0.000258,1574128812.8,1490.298852,01:16:38
