5000 Points, 30 Build Iterations, 300000 Query Iterations, Build: 1.791033, Query: 0.000154, Space: 79158988.00 bytes, Total Time: 100.009689 seconds, completion time: 17:57:29
10000 Points, 30 Build Iterations, 300000 Query Iterations, Build: 3.450184, Query: 0.000170, Space: 158126582.67 bytes, Total Time: 154.378374 seconds, completion time: 18:02:10
15000 Points, 30 Build Iterations, 300000 Query Iterations, Build: 5.289362, Query: 0.000178, Space: 245379103.47 bytes, Total Time: 212.192817 seconds, completion time: 18:08:56
20000 Points, 30 Build Iterations, 300000 Query Iterations, Build: 8.741082, Query: 0.000190, Space: 316709836.80 bytes, Total Time: 319.126002 seconds, completion time: 18:18:00
25000 Points, 30 Build Iterations, 300000 Query Iterations, Build: 10.977280, Query: 0.000194, Space: 410083420.53 bytes, Total Time: 387.456817 seconds, completion time: 18:29:19
30000 Points, 30 Build Iterations, 300000 Query Iterations, Build: 13.363354, Query: 0.000201, Space: 492028967.47 bytes, Total Time: 461.060555 seconds, completion time: 18:42:57
35000 Points, 30 Build Iterations, 300000 Query Iterations, Build: 16.506168, Query: 0.000213, Space: 561964909.33 bytes, Total Time: 559.100836 seconds, completion time: 18:59:18
40000 Points, 30 Build Iterations, 300000 Query Iterations, Build: 18.241898, Query: 0.000212, Space: 631583012.53 bytes, Total Time: 610.994153 seconds, completion time: 19:17:29
45000 Points, 30 Build Iterations, 300000 Query Iterations, Build: 21.324782, Query: 0.000217, Space: 743444172.00 bytes, Total Time: 704.754301 seconds, completion time: 19:38:06
50000 Points, 30 Build Iterations, 300000 Query Iterations, Build: 23.741392, Query: 0.000222, Space: 821857867.73 bytes, Total Time: 778.932417 seconds, completion time: 20:01:04
55000 Points, 30 Build Iterations, 300000 Query Iterations, Build: 27.088687, Query: 0.000232, Space: 891674661.87 bytes, Total Time: 882.382855 seconds, completion time: 20:27:00
60000 Points, 30 Build Iterations, 300000 Query Iterations, Build: 29.185465, Query: 0.000235, Space: 982209879.20 bytes, Total Time: 945.954936 seconds, completion time: 20:55:11
65000 Points, 30 Build Iterations, 300000 Query Iterations, Build: 32.043304, Query: 0.000239, Space: 1052088837.33 bytes, Total Time: 1033.087147 seconds, completion time: 21:25:54
70000 Points, 30 Build Iterations, 300000 Query Iterations, Build: 34.089294, Query: 0.000239, Space: 1121934687.47 bytes, Total Time: 1094.287491 seconds, completion time: 21:58:17
75000 Points, 30 Build Iterations, 300000 Query Iterations, Build: 36.459589, Query: 0.000242, Space: 1191624791.47 bytes, Total Time: 1166.268516 seconds, completion time: 22:32:51
80000 Points, 30 Build Iterations, 300000 Query Iterations, Build: 39.578141, Query: 0.000249, Space: 1263774372.27 bytes, Total Time: 1262.018828 seconds, completion time: 23:10:11 
85000 Points, 30 Build Iterations, 300000 Query Iterations, Build: 41.802295, Query: 0.000251, Space: 1333483762.13 bytes, Total Time: 1329.403221 seconds, completion time: 23:49:52
90000 Points, 30 Build Iterations, 300000 Query Iterations, Build: 45.494511, Query: 0.000259, Space: 1487339008.00 bytes, Total Time: 1442.595643 seconds, completion time: 00:32:28
95000 Points, 30 Build Iterations, 300000 Query Iterations, Build: 47.094509, Query: 0.000258, Space: 1574128812.80 bytes, Total Time: 1490.298852 seconds, completion time: 01:16:38
